"restaurant_id","restaurant_name","avg_rating","total_revenue"
47,"Caf̩ Masaledar 47","4.40","4406.02"
239,"Biryani House 239","4.80","4390.06"
4,"Royal Tandoor 4","3.40","4359.09"
220,"Dragon Wok 220","5.00","4343.35"
99,"The Food Studio 99","3.10","4317.79"
126,"Annapurna Bhavan 126","3.30","4305.80"
159,"Spice Villa 159","4.50","4300.69"
118,"Chutney Express 118","4.20","4286.45"
181,"Delhi Darbar 181","4.40","4215.27"
207,"Pizza Junction 207","3.40","4200.31"
244,"Mumbai Masala 244","4.00","4171.86"
263,"Rasoi Ghar 263","3.50","4130.07"
154,"The Curry Leaf 154","3.30","4112.64"
250,"Rasoi Ghar 250","3.90","4065.79"
248,"Taste of Punjab 248","3.80","4061.20"
198,"Delhi Darbar 198","4.40","4029.99"
53,"Chai & Chat 53","3.10","3991.22"
188,"Rasoi Ghar 188","3.30","3982.18"
206,"Curry Kingdom 206","3.20","3953.87"
290,"Saffron Delight 290","3.80","3921.07"
83,"Mumbai Masala 83","3.90","3890.40"
13,"Rasoi Ghar 13","4.20","3882.11"
28,"Dragon Wok 28","3.80","3879.29"
261,"Curry Kingdom 261","4.90","3820.41"
199,"Golden Spoon 199","4.40","3795.31"
80,"Masala Magic 80","4.40","3760.65"
166,"Spice Villa 166","3.90","3753.88"
51,"Flavours of India 51","4.10","3746.74"
66,"Caf̩ Masaledar 66","3.80","3746.02"
225,"Royal Tandoor 225","3.20","3702.71"
235,"Biryani House 235","4.60","3686.64"
240,"Kolkata Kitchen 240","3.50","3650.35"
173,"Chai & Chat 173","4.90","3638.62"
182,"Chai & Chat 182","4.40","3607.14"
61,"Flavours of India 61","3.40","3576.26"
265,"Burger Factory 265","4.80","3560.02"
254,"Delhi Darbar 254","4.20","3526.72"
280,"Taste of Punjab 280","3.90","3497.93"
134,"Burger Factory 134","4.60","3494.25"
137,"The Curry Leaf 137","4.70","3491.64"
48,"Madras Cafe 48","5.00","3476.59"
162,"Masala Magic 162","3.10","3466.00"
157,"Rasoi Ghar 157","4.80","3459.53"
124,"Taste of Punjab 124","4.80","3449.34"
272,"Annapurna Bhavan 272","4.70","3447.26"
20,"Pizza Junction 20","3.90","3411.51"
186,"Flavours of India 186","4.60","3398.63"
109,"Madras Cafe 109","4.70","3397.43"
229,"Mughal Mahal 229","3.60","3393.46"
9,"Delhi Darbar 9","3.20","3387.91"
70,"Kolkata Kitchen 70","4.40","3384.87"
128,"Bombay Bistro 128","3.60","3377.89"
19,"Chai & Chat 19","4.30","3342.24"
26,"Chai & Chat 26","3.50","3329.29"
138,"Biryani House 138","4.80","3294.28"
211,"Bombay Bistro 211","4.40","3284.93"
191,"Rasoi Ghar 191","3.60","3284.28"
38,"Curry Kingdom 38","4.00","3254.68"
170,"Rasoi Ghar 170","4.70","3238.72"
287,"Curry Kingdom 287","3.30","3219.81"
175,"Saffron Delight 175","3.20","3214.93"
97,"Bombay Bistro 97","4.40","3167.79"
17,"Chai & Chat 17","3.70","3156.61"
102,"Caf̩ Masaledar 102","3.40","3135.88"
169,"Flavours of India 169","4.50","3132.70"
256,"Pizza Junction 256","3.90","3077.58"
277,"Saffron Delight 277","3.70","3062.05"
294,"Chai & Chat 294","3.50","3020.34"
190,"Punjabi Dhaba 190","3.90","2962.98"
187,"Curry Kingdom 187","4.30","2892.83"
204,"Kolkata Kitchen 204","3.70","2883.38"
257,"Madras Cafe 257","3.10","2874.00"
289,"Royal Tandoor 289","3.70","2857.70"
27,"The Curry Leaf 27","3.50","2846.15"
32,"Annapurna Bhavan 32","4.10","2814.75"
222,"Punjabi Dhaba 222","4.60","2798.23"
121,"Spice Villa 121","4.40","2757.35"
33,"Pizza Junction 33","4.40","2755.36"
132,"The Hungry Panda 132","3.30","2712.52"
185,"South Spice 185","4.00","2695.82"
260,"Biryani House 260","3.90","2637.30"
270,"Golden Spoon 270","4.10","2633.55"
98,"Pizza Junction 98","3.20","2588.98"
101,"Saffron Delight 101","3.70","2558.36"
18,"Delhi Darbar 18","4.90","2543.11"
180,"Dragon Wok 180","4.90","2531.56"
183,"Urban Tadka 183","4.60","2517.46"
111,"Caf̩ Masaledar 111","3.60","2506.03"
59,"Mughal Mahal 59","4.30","2434.58"
58,"Curry Kingdom 58","3.80","2434.00"
264,"Pizza Junction 264","3.40","2424.52"
130,"Tandoori Nights 130","4.30","2416.39"
275,"Golden Spoon 275","5.00","2374.23"
125,"The Hungry Panda 125","3.80","2361.01"
100,"Chutney Express 100","3.30","2318.46"
266,"Taste of Punjab 266","4.50","2236.04"
202,"The Curry Leaf 202","4.20","2233.16"
141,"Madras Cafe 141","4.60","2221.07"
43,"The Food Studio 43","3.20","2182.36"
171,"Golden Spoon 171","4.10","2138.26"
160,"Taste of Punjab 160","4.50","2134.64"
87,"Bombay Bistro 87","4.40","2129.05"
163,"Flavours of India 163","3.30","2120.49"
8,"Bombay Bistro 8","3.60","2117.14"
108,"Taste of Punjab 108","3.30","2115.30"
14,"Madras Cafe 14","4.30","2105.12"
119,"The Hungry Panda 119","4.80","2079.63"
123,"South Spice 123","3.60","2077.05"
107,"Kolkata Kitchen 107","4.60","2029.09"
50,"Mughal Mahal 50","3.40","2013.08"
281,"Masala Magic 281","4.40","2012.05"
62,"Pizza Junction 62","3.80","1982.68"
227,"South Spice 227","3.50","1919.07"
149,"Golden Spoon 149","4.50","1899.37"
299,"Delhi Darbar 299","3.20","1864.71"
45,"Saffron Delight 45","3.30","1854.71"
37,"Masala Magic 37","4.00","1842.53"
139,"Dragon Wok 139","4.40","1830.72"
6,"Madras Cafe 6","3.40","1827.22"
110,"Taste of Punjab 110","3.40","1825.52"
105,"Caf̩ Masaledar 105","5.00","1820.26"
129,"Pizza Junction 129","3.60","1771.41"
194,"Annapurna Bhavan 194","4.00","1689.42"
64,"Biryani House 64","3.20","1661.39"
210,"Curry Kingdom 210","3.50","1572.84"
247,"Tandoori Nights 247","4.30","1546.11"
11,"Punjabi Dhaba 11","3.90","1506.56"
7,"Dragon Wok 7","4.50","1494.43"
231,"Taste of Punjab 231","4.40","1491.62"
15,"Mumbai Masala 15","4.70","1491.48"
72,"Royal Tandoor 72","4.10","1489.40"
1,"Chai & Chat 1","4.50","1433.17"
192,"The Curry Leaf 192","4.80","1334.08"
298,"Madras Cafe 298","4.70","1295.28"
144,"Curry Kingdom 144","4.60","1287.38"
208,"Golden Spoon 208","4.20","1245.43"
39,"Delhi Darbar 39","4.50","1233.32"
258,"Chai & Chat 258","4.40","1215.24"
82,"Chai & Chat 82","3.60","1187.64"
75,"The Hungry Panda 75","3.10","1137.96"
178,"Kolkata Kitchen 178","4.90","1137.91"
22,"Rasoi Ghar 22","4.60","1116.89"
23,"Punjabi Dhaba 23","3.50","1091.50"
197,"Burger Factory 197","3.00","1080.04"
36,"Mughal Mahal 36","4.80","1072.45"
29,"The Curry Leaf 29","4.00","1037.13"
68,"Bombay Bistro 68","5.00","994.49"
30,"Mumbai Masala 30","3.30","990.89"
283,"Taste of Punjab 283","4.90","937.88"
165,"Caf̩ Masaledar 165","4.10","936.52"
5,"The Hungry Panda 5","4.10","887.08"
151,"The Curry Leaf 151","3.20","876.22"
153,"The Food Studio 153","3.30","872.21"
131,"Mughal Mahal 131","4.40","820.54"
2,"The Curry Leaf 2","4.50","681.24"
279,"Mughal Mahal 279","3.30","662.54"
241,"Biryani House 241","4.70","657.54"
282,"Chai & Chat 282","4.70","590.52"
216,"Flavours of India 216","3.50","582.41"
42,"The Food Studio 42","3.10","579.90"
152,"Urban Tadka 152","3.70","575.60"
113,"Delhi Darbar 113","3.60","568.12"
217,"Taste of Punjab 217","4.60","558.00"
10,"Curry Kingdom 10","4.20","474.81"
114,"Biryani House 114","4.30","452.08"
246,"Tandoori Nights 246","3.90","450.15"
262,"Urban Tadka 262","3.50","353.45"
273,"Madras Cafe 273","3.80","337.59"
76,"Biryani House 76","3.20","313.04"
271,"Chutney Express 271","4.50","309.44"
116,"Curry Kingdom 116","4.20","299.43"
106,"Punjabi Dhaba 106","3.00","233.75"
245,"Mughal Mahal 245","5.00","178.45"
189,"Bombay Bistro 189","3.50","172.20"
224,"Dragon Wok 224","4.10","137.26"
57,"Punjabi Dhaba 57","3.40","74.42"
65,"Chai & Chat 65","4.90","22.25"
