"restaurant_id","restaurant_name","total_revenue","revenue_rank"
105,"Caf̩ Masaledar 105","2319.20","225"
202,"The Curry Leaf 202","2240.95","226"
123,"South Spice 123","2214.87","227"
163,"Flavours of India 163","2191.06","228"
149,"Golden Spoon 149","2187.62","229"
87,"Bombay Bistro 87","2173.56","230"
139,"Dragon Wok 139","2166.93","231"
45,"Saffron Delight 45","2156.65","232"
110,"Taste of Punjab 110","2119.91","233"
6,"Madras Cafe 6","2118.71","234"
37,"Masala Magic 37","2106.12","235"
227,"South Spice 227","2027.60","236"
210,"Curry Kingdom 210","2011.78","237"
194,"Annapurna Bhavan 194","1961.99","238"
247,"Tandoori Nights 247","1931.03","239"
299,"Delhi Darbar 299","1896.28","240"
129,"Pizza Junction 129","1893.42","241"
11,"Punjabi Dhaba 11","1793.83","242"
64,"Biryani House 64","1786.42","243"
231,"Taste of Punjab 231","1766.74","244"
72,"Royal Tandoor 72","1733.92","245"
1,"Chai & Chat 1","1717.38","246"
7,"Dragon Wok 7","1711.98","247"
208,"Golden Spoon 208","1646.62","248"
39,"Delhi Darbar 39","1623.49","249"
192,"The Curry Leaf 192","1573.11","250"
15,"Mumbai Masala 15","1551.49","251"
23,"Punjabi Dhaba 23","1520.27","252"
258,"Chai & Chat 258","1518.01","253"
298,"Madras Cafe 298","1506.74","254"
82,"Chai & Chat 82","1417.69","255"
29,"The Curry Leaf 29","1404.45","256"
165,"Caf̩ Masaledar 165","1361.67","257"
144,"Curry Kingdom 144","1320.03","258"
178,"Kolkata Kitchen 178","1300.14","259"
75,"The Hungry Panda 75","1283.28","260"
197,"Burger Factory 197","1282.69","261"
5,"The Hungry Panda 5","1237.39","262"
283,"Taste of Punjab 283","1226.04","263"
68,"Bombay Bistro 68","1222.89","264"
22,"Rasoi Ghar 22","1222.36","265"
30,"Mumbai Masala 30","1179.97","266"
36,"Mughal Mahal 36","1132.54","267"
131,"Mughal Mahal 131","1093.48","268"
42,"The Food Studio 42","1058.58","269"
241,"Biryani House 241","1026.07","270"
217,"Taste of Punjab 217","1016.35","271"
153,"The Food Studio 153","1009.57","272"
279,"Mughal Mahal 279","995.29","273"
216,"Flavours of India 216","993.32","274"
152,"Urban Tadka 152","985.38","275"
2,"The Curry Leaf 2","955.45","276"
151,"The Curry Leaf 151","899.47","277"
114,"Biryani House 114","899.06","278"
282,"Chai & Chat 282","866.72","279"
113,"Delhi Darbar 113","813.01","280"
10,"Curry Kingdom 10","773.04","281"
246,"Tandoori Nights 246","749.84","282"
76,"Biryani House 76","686.56","283"
273,"Madras Cafe 273","608.07","284"
262,"Urban Tadka 262","528.24","285"
271,"Chutney Express 271","459.31","286"
116,"Curry Kingdom 116","443.71","287"
106,"Punjabi Dhaba 106","344.58","288"
189,"Bombay Bistro 189","339.61","289"
65,"Chai & Chat 65","319.85","290"
57,"Punjabi Dhaba 57","250.40","291"
245,"Mughal Mahal 245","213.45","292"
224,"Dragon Wok 224","211.11","293"
